                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7909,                 3.2769,                 1.4524,                0.36941,                0.46592,                0.35608,                0.16835,                 1.6518,                 2.4021,                 1.3965,             0.00023737,             0.00023737,             0.00023737
                      2,                 1.6793,                 2.3889,                 1.4097,                0.57319,                0.54924,                0.52186,                0.25926,                 1.6567,                 1.8599,                 1.5031,             0.00045969,             0.00045969,             0.00045969
                      3,                 1.6645,                 2.0922,                 1.4301,                0.48365,                0.48396,                0.39801,                0.15916,                 1.9611,                 2.0078,                 1.7996,             0.00066629,             0.00066629,             0.00066629
                      4,                 1.6583,                 1.9226,                 1.4465,                0.63321,                0.60938,                0.58284,                0.27692,                 1.7277,                 1.7056,                 1.5686,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.6285,                 1.7969,                 1.4371,                0.67724,                0.64373,                0.64629,                0.34279,                 1.6139,                  1.512,                 1.4807,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.6089,                 1.6664,                 1.4244,                0.62442,                0.60792,                0.55756,                 0.2679,                 1.8012,                 1.6637,                 1.7028,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.5897,                 1.6151,                 1.4165,                0.78647,                0.69286,                0.75058,                0.40678,                 1.6437,                 1.2833,                  1.511,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.5678,                 1.5475,                 1.4031,                0.76833,                0.72724,                0.75287,                0.42301,                  1.553,                 1.2742,                 1.4812,             0.00054907,             0.00054907,             0.00054907
                      9,                 1.5557,                 1.4804,                 1.3995,                0.79065,                0.71997,                0.75276,                0.41621,                 1.6175,                 1.2446,                 1.5079,              0.0005255,              0.0005255,              0.0005255
                     10,                 1.5357,                 1.4343,                 1.3894,                0.82633,                0.74315,                 0.7867,                0.46126,                 1.5062,                 1.1385,                 1.4463,             0.00050194,             0.00050194,             0.00050194
                     11,                 1.5326,                 1.3985,                 1.3838,                0.83989,                0.75295,                0.80109,                0.46004,                 1.5266,                  1.071,                 1.4383,             0.00047838,             0.00047838,             0.00047838
                     12,                 1.5202,                 1.3825,                 1.3812,                0.84004,                0.76119,                0.80433,                0.47414,                 1.4877,                  1.069,                 1.4204,             0.00045482,             0.00045482,             0.00045482
                     13,                 1.5067,                 1.3358,                 1.3685,                0.83123,                0.74994,                0.79341,                0.46247,                 1.5159,                 1.0749,                 1.4497,             0.00043126,             0.00043126,             0.00043126
                     14,                 1.4997,                 1.3264,                 1.3689,                0.85735,                0.76378,                0.81639,                0.46231,                 1.5574,                  1.017,                  1.469,             0.00040769,             0.00040769,             0.00040769
                     15,                 1.4713,                 1.2748,                 1.3535,                0.87013,                0.77112,                0.82318,                0.49626,                 1.4662,                0.98132,                 1.4091,             0.00038413,             0.00038413,             0.00038413
